VisaType,countries,date_gov,date,delay,delay_days,datetype
3rd,CHINA,2019-04-01,2023-05-01,1491 days,1491.0,Final Action Date
Other Workers,CHINA,2015-04-15,2023-05-01,2938 days,2938.0,Final Action Date
4th,CHINA,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
Certain Religious Workers,CHINA,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-09-08,2023-05-01,2792 days,2792.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
1st,INDIA,2022-02-01,2023-05-01,454 days,454.0,Final Action Date
2nd,INDIA,2011-01-01,2023-05-01,4503 days,4503.0,Final Action Date
3rd,INDIA,2012-06-15,2023-05-01,3972 days,3972.0,Final Action Date
Other Workers,INDIA,2012-06-15,2023-05-01,3972 days,3972.0,Final Action Date
4th,INDIA,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
Certain Religious Workers,INDIA,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2018-06-01,2023-05-01,1795 days,1795.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
1st,MEXICO,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-02-15,2023-05-01,440 days,440.0,Final Action Date
3rd,MEXICO,2022-06-01,2023-05-01,334 days,334.0,Final Action Date
Other Workers,MEXICO,2020-01-01,2023-05-01,1216 days,1216.0,Final Action Date
4th,MEXICO,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
Certain Religious Workers,MEXICO,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-02-15,2023-05-01,440 days,440.0,Final Action Date
3rd,PHILIPPINES,2022-06-01,2023-05-01,334 days,334.0,Final Action Date
Other Workers,PHILIPPINES,2020-01-01,2023-05-01,1216 days,1216.0,Final Action Date
4th,PHILIPPINES,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2018-09-01,2023-05-01,1703 days,1703.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2023-05-01,2023-05-01,0 days,0.0,Final Action Date
1st,ROW,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
2nd,ROW,2022-07-01,2023-04-01,274 days,274.0,Final Action Date
3rd,ROW,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
Other Workers,ROW,2020-01-01,2023-04-01,1186 days,1186.0,Final Action Date
4th,ROW,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
Certain Religious Workers,ROW,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
1st,CHINA,2022-02-01,2023-04-01,424 days,424.0,Final Action Date
2nd,CHINA,2019-06-08,2023-04-01,1393 days,1393.0,Final Action Date
3rd,CHINA,2018-11-01,2023-04-01,1612 days,1612.0,Final Action Date
Other Workers,CHINA,2014-10-01,2023-04-01,3104 days,3104.0,Final Action Date
4th,CHINA,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
Certain Religious Workers,CHINA,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-07-08,2023-04-01,2824 days,2824.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
1st,INDIA,2022-02-01,2023-04-01,424 days,424.0,Final Action Date
2nd,INDIA,2011-01-01,2023-04-01,4473 days,4473.0,Final Action Date
3rd,INDIA,2012-06-15,2023-04-01,3942 days,3942.0,Final Action Date
Other Workers,INDIA,2012-06-15,2023-04-01,3942 days,3942.0,Final Action Date
4th,INDIA,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
Certain Religious Workers,INDIA,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2018-06-01,2023-04-01,1765 days,1765.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
1st,MEXICO,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-07-01,2023-04-01,274 days,274.0,Final Action Date
3rd,MEXICO,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2020-01-01,2023-04-01,1186 days,1186.0,Final Action Date
4th,MEXICO,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
Certain Religious Workers,MEXICO,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-07-01,2023-04-01,274 days,274.0,Final Action Date
3rd,PHILIPPINES,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2020-01-01,2023-04-01,1186 days,1186.0,Final Action Date
4th,PHILIPPINES,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2018-09-01,2023-04-01,1673 days,1673.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2023-04-01,2023-04-01,0 days,0.0,Final Action Date
1st,ROW,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
2nd,ROW,2022-11-01,2023-03-01,120 days,120.0,Final Action Date
3rd,ROW,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
Other Workers,ROW,2020-01-01,2023-03-01,1155 days,1155.0,Final Action Date
4th,ROW,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
Certain Religious Workers,ROW,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
1st,CHINA,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
2nd,CHINA,2019-06-08,2023-03-01,1362 days,1362.0,Final Action Date
3rd,CHINA,2018-08-01,2023-03-01,1673 days,1673.0,Final Action Date
Other Workers,CHINA,2014-07-01,2023-03-01,3165 days,3165.0,Final Action Date
4th,CHINA,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
Certain Religious Workers,CHINA,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-07-08,2023-03-01,2793 days,2793.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2023-03-01,2023-03-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2022-11-01,2023-03-01,120 days,120.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2023-03-01,2023-03-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2020-01-01,2023-03-01,1155 days,1155.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-03-15,2023-03-01,1812 days,1812.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-03-15,2023-03-01,1812 days,1812.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-03-01,2023-03-01,0 days,0.0,Final Action Date
1st,INDIA,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
2nd,INDIA,2011-10-08,2023-03-01,4162 days,4162.0,Final Action Date
3rd,INDIA,2012-06-15,2023-03-01,3911 days,3911.0,Final Action Date
Other Workers,INDIA,2012-06-15,2023-03-01,3911 days,3911.0,Final Action Date
4th,INDIA,2021-03-01,2023-03-01,730 days,730.0,Final Action Date
Certain Religious Workers,INDIA,2021-03-01,2023-03-01,730 days,730.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2018-06-01,2023-03-01,1734 days,1734.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
1st,MEXICO,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-11-01,2023-03-01,120 days,120.0,Final Action Date
3rd,MEXICO,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2020-01-01,2023-03-01,1155 days,1155.0,Final Action Date
4th,MEXICO,2020-08-01,2023-03-01,942 days,942.0,Final Action Date
Certain Religious Workers,MEXICO,2020-08-01,2023-03-01,942 days,942.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-11-01,2023-03-01,120 days,120.0,Final Action Date
3rd,PHILIPPINES,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2020-01-01,2023-03-01,1155 days,1155.0,Final Action Date
4th,PHILIPPINES,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2022-02-01,2023-03-01,393 days,393.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2023-03-01,2023-03-01,0 days,0.0,Final Action Date
1st,ROW,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
2nd,ROW,2022-11-01,2023-02-01,92 days,92.0,Final Action Date
3rd,ROW,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
Other Workers,ROW,2020-01-01,2023-02-01,1127 days,1127.0,Final Action Date
4th,ROW,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
Certain Religious Workers,ROW,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
1st,CHINA,2022-02-01,2023-02-01,365 days,365.0,Final Action Date
2nd,CHINA,2019-06-08,2023-02-01,1334 days,1334.0,Final Action Date
3rd,CHINA,2018-08-01,2023-02-01,1645 days,1645.0,Final Action Date
Other Workers,CHINA,2013-12-22,2023-02-01,3328 days,3328.0,Final Action Date
4th,CHINA,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
Certain Religious Workers,CHINA,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-03-22,2023-02-01,2873 days,2873.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2023-02-01,2023-02-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2022-11-01,2023-02-01,92 days,92.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2023-02-01,2023-02-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2020-01-01,2023-02-01,1127 days,1127.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-03-15,2023-02-01,1784 days,1784.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-03-15,2023-02-01,1784 days,1784.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-02-01,2023-02-01,0 days,0.0,Final Action Date
1st,INDIA,2022-02-01,2023-02-01,365 days,365.0,Final Action Date
2nd,INDIA,2011-10-08,2023-02-01,4134 days,4134.0,Final Action Date
3rd,INDIA,2012-06-15,2023-02-01,3883 days,3883.0,Final Action Date
Other Workers,INDIA,2012-06-15,2023-02-01,3883 days,3883.0,Final Action Date
4th,INDIA,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
Certain Religious Workers,INDIA,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2019-11-08,2023-02-01,1181 days,1181.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
1st,MEXICO,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-11-01,2023-02-01,92 days,92.0,Final Action Date
3rd,MEXICO,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2020-01-01,2023-02-01,1127 days,1127.0,Final Action Date
4th,MEXICO,2020-09-15,2023-02-01,869 days,869.0,Final Action Date
Certain Religious Workers,MEXICO,2020-09-15,2023-02-01,869 days,869.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-11-01,2023-02-01,92 days,92.0,Final Action Date
3rd,PHILIPPINES,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2020-01-01,2023-02-01,1127 days,1127.0,Final Action Date
4th,PHILIPPINES,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2022-06-22,2023-02-01,224 days,224.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2023-02-01,2023-02-01,0 days,0.0,Final Action Date
1st,ROW,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
2nd,ROW,2022-11-01,2023-01-01,61 days,61.0,Final Action Date
3rd,ROW,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
Other Workers,ROW,2020-06-01,2023-01-01,944 days,944.0,Final Action Date
4th,ROW,2022-06-22,2023-01-01,193 days,193.0,Final Action Date
Certain Religious Workers,ROW,,2023-01-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
1st,CHINA,2022-02-01,2023-01-01,334 days,334.0,Final Action Date
2nd,CHINA,2019-06-08,2023-01-01,1303 days,1303.0,Final Action Date
3rd,CHINA,2018-08-01,2023-01-01,1614 days,1614.0,Final Action Date
Other Workers,CHINA,2013-12-22,2023-01-01,3297 days,3297.0,Final Action Date
4th,CHINA,2022-06-22,2023-01-01,193 days,193.0,Final Action Date
Certain Religious Workers,CHINA,,2023-01-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-03-22,2023-01-01,2842 days,2842.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",CHINA,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2023-01-01,2023-01-01,0 days,0.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2022-11-01,2023-01-01,61 days,61.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2023-01-01,2023-01-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2020-06-01,2023-01-01,944 days,944.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-03-15,2023-01-01,1753 days,1753.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",,2023-01-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)","EL SALVADOR
 GUATEMALA
 HONDURAS",2023-01-01,2023-01-01,0 days,0.0,Final Action Date
1st,INDIA,2022-02-01,2023-01-01,334 days,334.0,Final Action Date
2nd,INDIA,2011-10-08,2023-01-01,4103 days,4103.0,Final Action Date
3rd,INDIA,2012-06-15,2023-01-01,3852 days,3852.0,Final Action Date
Other Workers,INDIA,2012-06-15,2023-01-01,3852 days,3852.0,Final Action Date
4th,INDIA,2022-06-22,2023-01-01,193 days,193.0,Final Action Date
Certain Religious Workers,INDIA,,2023-01-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",INDIA,2019-11-08,2023-01-01,1150 days,1150.0,Final Action Date
"5th Set Aside:
Rural (20%)",INDIA,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",INDIA,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",INDIA,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
1st,MEXICO,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
2nd,MEXICO,2022-11-01,2023-01-01,61 days,61.0,Final Action Date
3rd,MEXICO,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2020-06-01,2023-01-01,944 days,944.0,Final Action Date
4th,MEXICO,2020-09-15,2023-01-01,838 days,838.0,Final Action Date
Certain Religious Workers,MEXICO,,2023-01-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",MEXICO,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",MEXICO,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",MEXICO,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",MEXICO,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
2nd,PHILIPPINES,2022-11-01,2023-01-01,61 days,61.0,Final Action Date
3rd,PHILIPPINES,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
Other Workers,PHILIPPINES,2020-06-01,2023-01-01,944 days,944.0,Final Action Date
4th,PHILIPPINES,2022-06-22,2023-01-01,193 days,193.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2023-01-01,,,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",PHILIPPINES,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",PHILIPPINES,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",PHILIPPINES,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",PHILIPPINES,2023-01-01,2023-01-01,0 days,0.0,Final Action Date
1st,ROW,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
2nd,ROW,2022-11-01,2022-12-01,30 days,30.0,Final Action Date
3rd,ROW,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
Other Workers,ROW,2020-06-01,2022-12-01,913 days,913.0,Final Action Date
4th,ROW,2022-06-22,2022-12-01,162 days,162.0,Final Action Date
Certain Religious Workers,ROW,2022-06-22,2022-12-01,162 days,162.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",ROW,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
"5th Set Aside:
Rural (20%)",ROW,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",ROW,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
"5th Set Aside:
Infrastructure (2%)",ROW,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
1st,CHINA,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
2nd,CHINA,2019-06-08,2022-12-01,1272 days,1272.0,Final Action Date
3rd,CHINA,2018-08-01,2022-12-01,1583 days,1583.0,Final Action Date
Other Workers,CHINA,2013-06-22,2022-12-01,3449 days,3449.0,Final Action Date
4th,CHINA,2022-06-22,2022-12-01,162 days,162.0,Final Action Date
Certain Religious Workers,CHINA,2022-06-22,2022-12-01,162 days,162.0,Final Action Date
"5th Unreserved
(including C5, T5, I5, R5)",CHINA,2015-03-22,2022-12-01,2811 days,2811.0,Final Action Date
"5th Set Aside:
Rural (20%)",CHINA,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
"5th Set Aside:
High Unemployment (10%)",CHINA,2022-12-01,2022-12-01,0 days,0.0,Final Action Date
