VisaType,countries,date_gov,date,delay,delay_days,datetype
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-03-08,2019-05-01,1149 days,1149.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-05-01,2019-05-01,0 days,0.0,Final Action Date
1st,INDIA,2017-02-22,2019-05-01,798 days,798.0,Final Action Date
2nd,INDIA,2009-04-16,2019-05-01,3667 days,3667.0,Final Action Date
3rd,INDIA,2009-07-01,2019-05-01,3591 days,3591.0,Final Action Date
Other Workers,INDIA,2009-07-01,2019-05-01,3591 days,3591.0,Final Action Date
4th,INDIA,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
1st,MEXICO,2018-03-01,2019-05-01,426 days,426.0,Final Action Date
2nd,MEXICO,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
3rd,MEXICO,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
4th,MEXICO,2018-08-01,2019-05-01,273 days,273.0,Final Action Date
Certain Religious Workers,MEXICO,2018-08-01,2019-05-01,273 days,273.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2018-03-01,2019-05-01,426 days,426.0,Final Action Date
2nd,PHILIPPINES,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2018-06-01,2019-05-01,334 days,334.0,Final Action Date
Other Workers,PHILIPPINES,2018-06-01,2019-05-01,334 days,334.0,Final Action Date
4th,PHILIPPINES,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
1st,VIETNAM,2018-03-01,2019-05-01,426 days,426.0,Final Action Date
2nd,VIETNAM,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
4th,VIETNAM,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,2019-05-01,2019-05-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2016-09-22,2019-05-01,951 days,951.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,2016-09-22,2019-05-01,951 days,951.0,Final Action Date
1st,ROW,2018-02-01,2019-04-01,424 days,424.0,Final Action Date
2nd,ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
3rd,ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Other Workers,ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
4th,ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
1st,CHINA,2017-02-22,2019-04-01,768 days,768.0,Final Action Date
2nd,CHINA,2016-04-01,2019-04-01,1095 days,1095.0,Final Action Date
3rd,CHINA,2015-08-01,2019-04-01,1339 days,1339.0,Final Action Date
Other Workers,CHINA,2007-08-22,2019-04-01,4240 days,4240.0,Final Action Date
4th,CHINA,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2014-09-15,2019-04-01,1659 days,1659.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,2014-09-15,2019-04-01,1659 days,1659.0,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-02-01,2019-04-01,424 days,424.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-04-01,2019-04-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-04-01,2019-04-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-03-08,2019-04-01,1119 days,1119.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-03-08,2019-04-01,1119 days,1119.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-04-01,2019-04-01,0 days,0.0,Final Action Date
1st,INDIA,2017-02-22,2019-04-01,768 days,768.0,Final Action Date
2nd,INDIA,2009-04-12,2019-04-01,3641 days,3641.0,Final Action Date
3rd,INDIA,2009-06-22,2019-04-01,3570 days,3570.0,Final Action Date
Other Workers,INDIA,2009-06-22,2019-04-01,3570 days,3570.0,Final Action Date
4th,INDIA,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
1st,MEXICO,2018-02-01,2019-04-01,424 days,424.0,Final Action Date
2nd,MEXICO,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
3rd,MEXICO,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
4th,MEXICO,2018-04-01,2019-04-01,365 days,365.0,Final Action Date
Certain Religious Workers,MEXICO,2018-04-01,2019-04-01,365 days,365.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2018-02-01,2019-04-01,424 days,424.0,Final Action Date
2nd,PHILIPPINES,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2018-03-01,2019-04-01,396 days,396.0,Final Action Date
Other Workers,PHILIPPINES,2018-03-01,2019-04-01,396 days,396.0,Final Action Date
4th,PHILIPPINES,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
1st,VIETNAM,2018-02-01,2019-04-01,424 days,424.0,Final Action Date
2nd,VIETNAM,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
4th,VIETNAM,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,2019-04-01,2019-04-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2016-08-22,2019-04-01,952 days,952.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,2016-08-22,2019-04-01,952 days,952.0,Final Action Date
1st,ROW,2018-01-01,2019-03-01,424 days,424.0,Final Action Date
2nd,ROW,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
3rd,ROW,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Other Workers,ROW,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
4th,ROW,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2019-03-01,,,Final Action Date
1st,CHINA,2017-02-22,2019-03-01,737 days,737.0,Final Action Date
2nd,CHINA,2016-01-01,2019-03-01,1155 days,1155.0,Final Action Date
3rd,CHINA,2015-07-08,2019-03-01,1332 days,1332.0,Final Action Date
Other Workers,CHINA,2007-08-15,2019-03-01,4216 days,4216.0,Final Action Date
4th,CHINA,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2014-09-08,2019-03-01,1635 days,1635.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2019-03-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-01-01,2019-03-01,424 days,424.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-01,2019-03-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-01,2019-03-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-03-01,2019-03-01,1095 days,1095.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-03-01,2019-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2019-03-01,,,Final Action Date
1st,INDIA,2017-02-22,2019-03-01,737 days,737.0,Final Action Date
2nd,INDIA,2009-04-09,2019-03-01,3613 days,3613.0,Final Action Date
3rd,INDIA,2009-05-22,2019-03-01,3570 days,3570.0,Final Action Date
Other Workers,INDIA,2009-05-22,2019-03-01,3570 days,3570.0,Final Action Date
4th,INDIA,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2019-03-01,,,Final Action Date
1st,MEXICO,2018-01-01,2019-03-01,424 days,424.0,Final Action Date
2nd,MEXICO,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
3rd,MEXICO,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
4th,MEXICO,2018-01-01,2019-03-01,424 days,424.0,Final Action Date
Certain Religious Workers,MEXICO,,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2019-03-01,,,Final Action Date
1st,PHILIPPINES,2018-01-01,2019-03-01,424 days,424.0,Final Action Date
2nd,PHILIPPINES,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2017-12-01,2019-03-01,455 days,455.0,Final Action Date
Other Workers,PHILIPPINES,2017-12-01,2019-03-01,455 days,455.0,Final Action Date
4th,PHILIPPINES,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2019-03-01,,,Final Action Date
1st,VIETNAM,2018-01-01,2019-03-01,424 days,424.0,Final Action Date
2nd,VIETNAM,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
4th,VIETNAM,2019-03-01,2019-03-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,,2019-03-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2016-07-15,2019-03-01,959 days,959.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,,2019-03-01,,,Final Action Date
1st,ROW,2017-12-01,2019-02-01,427 days,427.0,Final Action Date
2nd,ROW,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
3rd,ROW,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Other Workers,ROW,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
4th,ROW,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2019-02-01,,,Final Action Date
1st,CHINA,2017-02-08,2019-02-01,723 days,723.0,Final Action Date
2nd,CHINA,2015-10-01,2019-02-01,1219 days,1219.0,Final Action Date
3rd,CHINA,2015-07-01,2019-02-01,1311 days,1311.0,Final Action Date
Other Workers,CHINA,2007-08-01,2019-02-01,4202 days,4202.0,Final Action Date
4th,CHINA,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2014-09-01,2019-02-01,1614 days,1614.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2019-02-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2017-12-01,2019-02-01,427 days,427.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-02-01,2019-02-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-02-01,2019-02-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-03-01,2019-02-01,1067 days,1067.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-02-01,2019-02-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2019-02-01,,,Final Action Date
1st,INDIA,2017-02-08,2019-02-01,723 days,723.0,Final Action Date
2nd,INDIA,2009-04-06,2019-02-01,3588 days,3588.0,Final Action Date
3rd,INDIA,2009-04-22,2019-02-01,3572 days,3572.0,Final Action Date
Other Workers,INDIA,2009-04-22,2019-02-01,3572 days,3572.0,Final Action Date
4th,INDIA,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2019-02-01,,,Final Action Date
1st,MEXICO,2017-12-01,2019-02-01,427 days,427.0,Final Action Date
2nd,MEXICO,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
3rd,MEXICO,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
4th,MEXICO,2017-09-01,2019-02-01,518 days,518.0,Final Action Date
Certain Religious Workers,MEXICO,,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2019-02-01,,,Final Action Date
1st,PHILIPPINES,2017-12-01,2019-02-01,427 days,427.0,Final Action Date
2nd,PHILIPPINES,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2017-08-01,2019-02-01,549 days,549.0,Final Action Date
Other Workers,PHILIPPINES,2017-08-01,2019-02-01,549 days,549.0,Final Action Date
4th,PHILIPPINES,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2019-02-01,,,Final Action Date
1st,VIETNAM,2017-12-01,2019-02-01,427 days,427.0,Final Action Date
2nd,VIETNAM,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
4th,VIETNAM,2019-02-01,2019-02-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,,2019-02-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2016-06-15,2019-02-01,961 days,961.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,,2019-02-01,,,Final Action Date
1st,ROW,2017-10-01,2019-01-01,457 days,457.0,Final Action Date
2nd,ROW,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
3rd,ROW,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Other Workers,ROW,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
4th,ROW,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,,2019-01-01,,,Final Action Date
1st,CHINA,2016-12-15,2019-01-01,747 days,747.0,Final Action Date
2nd,CHINA,2015-08-01,2019-01-01,1249 days,1249.0,Final Action Date
3rd,CHINA,2015-06-08,2019-01-01,1303 days,1303.0,Final Action Date
Other Workers,CHINA,2007-07-01,2019-01-01,4202 days,4202.0,Final Action Date
4th,CHINA,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2014-09-01,2019-01-01,1583 days,1583.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,,2019-01-01,,,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2017-10-01,2019-01-01,457 days,457.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-01-01,2019-01-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2019-01-01,2019-01-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-02-22,2019-01-01,1044 days,1044.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2019-01-01,2019-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",,2019-01-01,,,Final Action Date
1st,INDIA,2016-12-15,2019-01-01,747 days,747.0,Final Action Date
2nd,INDIA,2009-04-01,2019-01-01,3562 days,3562.0,Final Action Date
3rd,INDIA,2009-03-01,2019-01-01,3593 days,3593.0,Final Action Date
Other Workers,INDIA,2009-03-01,2019-01-01,3593 days,3593.0,Final Action Date
4th,INDIA,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,,2019-01-01,,,Final Action Date
1st,MEXICO,2017-10-01,2019-01-01,457 days,457.0,Final Action Date
2nd,MEXICO,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
3rd,MEXICO,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
4th,MEXICO,2017-04-15,2019-01-01,626 days,626.0,Final Action Date
Certain Religious Workers,MEXICO,,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,,2019-01-01,,,Final Action Date
1st,PHILIPPINES,2017-10-01,2019-01-01,457 days,457.0,Final Action Date
2nd,PHILIPPINES,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2017-06-22,2019-01-01,558 days,558.0,Final Action Date
Other Workers,PHILIPPINES,2017-06-22,2019-01-01,558 days,558.0,Final Action Date
4th,PHILIPPINES,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,,2019-01-01,,,Final Action Date
1st,VIETNAM,2017-10-01,2019-01-01,457 days,457.0,Final Action Date
2nd,VIETNAM,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
3rd,VIETNAM,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Other Workers,VIETNAM,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
4th,VIETNAM,2019-01-01,2019-01-01,0 days,0.0,Final Action Date
Certain Religious Workers,VIETNAM,,2019-01-01,,,Final Action Date
"5th Non-Regional Center
(C5 and T5)",VIETNAM,2016-06-01,2019-01-01,944 days,944.0,Final Action Date
"5th Regional Center
(I5 and R5)",VIETNAM,,2019-01-01,,,Final Action Date
1st,ROW,2017-07-01,2018-12-01,518 days,518.0,Final Action Date
2nd,ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
3rd,ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Other Workers,ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
4th,ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",ROW,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
1st,CHINA,2016-09-01,2018-12-01,821 days,821.0,Final Action Date
2nd,CHINA,2015-07-01,2018-12-01,1249 days,1249.0,Final Action Date
3rd,CHINA,2015-06-08,2018-12-01,1272 days,1272.0,Final Action Date
Other Workers,CHINA,2007-06-01,2018-12-01,4201 days,4201.0,Final Action Date
4th,CHINA,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,CHINA,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",CHINA,2014-08-22,2018-12-01,1562 days,1562.0,Final Action Date
"5th Regional Center
(I5 and R5)",CHINA,2014-08-22,2018-12-01,1562 days,1562.0,Final Action Date
1st,"EL SALVADOR
 GUATEMALA
 HONDURAS",2017-07-01,2018-12-01,518 days,518.0,Final Action Date
2nd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2018-12-01,0 days,0.0,Final Action Date
3rd,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Other Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2018-12-01,0 days,0.0,Final Action Date
4th,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-02-22,2018-12-01,1013 days,1013.0,Final Action Date
Certain Religious Workers,"EL SALVADOR
 GUATEMALA
 HONDURAS",2016-02-22,2018-12-01,1013 days,1013.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)","EL SALVADOR
 GUATEMALA
 HONDURAS",2018-12-01,2018-12-01,0 days,0.0,Final Action Date
1st,INDIA,2016-09-01,2018-12-01,821 days,821.0,Final Action Date
2nd,INDIA,2009-04-01,2018-12-01,3531 days,3531.0,Final Action Date
3rd,INDIA,2009-03-01,2018-12-01,3562 days,3562.0,Final Action Date
Other Workers,INDIA,2009-03-01,2018-12-01,3562 days,3562.0,Final Action Date
4th,INDIA,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,INDIA,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",INDIA,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",INDIA,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
1st,MEXICO,2017-07-01,2018-12-01,518 days,518.0,Final Action Date
2nd,MEXICO,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
3rd,MEXICO,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Other Workers,MEXICO,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
4th,MEXICO,2017-01-01,2018-12-01,699 days,699.0,Final Action Date
Certain Religious Workers,MEXICO,2017-01-01,2018-12-01,699 days,699.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",MEXICO,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",MEXICO,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
1st,PHILIPPINES,2017-07-01,2018-12-01,518 days,518.0,Final Action Date
2nd,PHILIPPINES,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
3rd,PHILIPPINES,2017-06-15,2018-12-01,534 days,534.0,Final Action Date
Other Workers,PHILIPPINES,2017-06-15,2018-12-01,534 days,534.0,Final Action Date
4th,PHILIPPINES,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
Certain Religious Workers,PHILIPPINES,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Non-Regional Center
(C5 and T5)",PHILIPPINES,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
"5th Regional Center
(I5 and R5)",PHILIPPINES,2018-12-01,2018-12-01,0 days,0.0,Final Action Date
1st,VIETNAM,2017-07-01,2018-12-01,518 days,518.0,Final Action Date
